"SiO2"	"Al2O3"	"Fe2O3"	"CaO"	"MgO"	"Na2O"	"K2O"
18.28	3.87	1.68	40.74	0.99	0.42	0.78
21.67	4.16	2.05	38.27	1.16	0.4	0.89
14.11	2.62	1.23	44.4	0.91	0.33	0.61
11.97	2.21	1.03	46.19	0.78	0.29	0.45
15.52	2.65	1.24	43.77	0.7	0.33	0.56
17.29	3.25	1.58	41.87	0.94	0.42	0.7
18.8	3.67	1.81	40.23	1.04	0.4	0.82
14.63	2.9	1.31	43.97	0.82	0.24	0.69
12.17	2.5	1.13	45.92	0.78	0.21	0.56
16.13	3.12	1.37	42.79	0.8	0.25	0.67
17.71	3.53	1.54	41.29	0.97	0.41	0.8
16.79	3.1	1.47	42.02	1.16	0.39	0.78
14.7	2.85	1.32	43.94	0.94	0.28	0.63
12.31	1.95	1.02	46.31	0.67	0.23	0.64
14.5	2.67	1.03	44.58	0.74	0.29	0.67
17.75	3.62	1.56	41.46	1.1	0.27	0.69
22.45	4.55	2.11	37.92	1.24	0.29	0.72
16.46	3.08	1.4	42.39	0.91	0.33	0.73
14.5	2.85	1.22	43.91	0.77	0.3	0.65
16.63	3.35	1.49	41.98	0.96	0.37	0.73
19.55	3.81	1.72	39.96	0.91	0.35	0.71
22.65	4.81	2.12	37.21	1.15	0.46	0.94
14.67	3.01	1.3	43.8	0.95	0.26	0.57
12.21	2.42	1.04	46.01	0.75	0.22	0.43
16.19	3.17	1.42	43	0.75	0.32	0.61
16.94	3.69	1.66	41.45	1.02	0.48	0.7
26.86	4.56	2.27	35.3	1.41	0.58	0.8
15.41	3.2	1.28	43.29	0.96	0.26	0.54
12.54	2.37	1.1	45.73	0.72	0.23	0.41
16.96	3.38	1.48	41.87	1.1	0.32	0.56
17.53	3.82	1.68	40.89	1.12	0.46	0.7
25.24	5.6	2.14	34.45	1.58	0.56	0.83
15.15	2.87	1.3	43.93	0.82	0.17	0.47
13.21	2.28	1.09	45.65	0.74	0.22	0.35
15.89	2.97	1.34	43.44	0.82	0.24	0.39
17.44	3.25	1.58	42.02	0.98	0.31	0.53
28.13	4.04	2.05	34.81	1.45	0.29	0.41
17.14	2.22	1.5	42.78	0.77	0.27	0.54
15.4	2.42	1.2	43.95	0.67	0.33	0.5
13.24	1.96	1.16	45.59	0.65	0.26	0.43
24.48	3.56	1.95	36.8	1.01	0.39	0.79
17.06	2.14	1.05	43.3	0.63	0.25	0.43
14.2	1.78	0.96	45.37	0.67	0.21	0.32
16.19	2.59	1.26	43.3	0.83	0.26	0.4
29.75	3.07	1.67	34.21	1.15	0.38	0.64
15.69	2.51	1.18	43.94	0.75	0.26	0.5
14.21	2.05	1.03	45.34	0.61	0.25	0.36
16.6	2.9	1.34	42.87	0.83	0.33	0.52
25.56	4.26	2.09	35.79	1.27	0.37	0.82
24.23	5.46	1.96	36.51	0.79	0.38	0.88
14.44	2.32	1.17	44.78	0.81	0.19	0.43
14.45	2.15	1.1	44.95	0.67	0.17	0.31
16.5	3.05	1.44	42.54	0.89	0.37	0.59
26.43	4.58	2.53	34.62	1.44	0.51	0.85
14.24	2.41	1.03	44.98	0.82	0.22	0.43
16.52	2.81	1.29	43.03	0.96	0.27	0.48
26.51	4.97	2.24	35.42	1.24	0.38	0.88
17.18	3.09	1.4	42.15	1.03	0.25	0.57
16.24	3.06	1.41	42.84	0.99	0.27	0.58
23.38	4.66	2.13	36.72	1.31	0.37	0.83
15.57	2.55	1.16	43.75	0.83	0.22	0.48
17.31	3.44	1.46	41.8	1.11	0.26	0.61
26.01	5.11	2.27	34.5	1.49	0.43	1.02
15.16	2.22	1.17	44.54	0.79	0.34	0.51
14.46	2.19	0.95	45.06	0.73	0.29	0.51
45.77	15.23	5.31	10.38	7.01	0.15	3.06
14.11	2.58	1.1	44.61	0.95	0.24	0.73
15.6	2.79	1.2	43.54	0.97	0.3	0.53
24.63	6.03	2.09	35.37	1.43	0.42	0.98
14.05	2.5	1.1	44.56	1.03	0.26	0.57
16.82	3.46	1.44	41.93	0.95	0.35	0.78
24.18	4.87	2.1	36.12	1.29	0.44	1.16
15.8	2.35	1.06	43.92	0.77	0.18	0.48
16.84	2.93	1.31	42.67	0.79	0.26	0.57
25.53	5.15	2.26	35.2	1.28	0.39	1.04
17.37	3.68	1.55	41.4	0.95	0.3	0.74
25.43	5.06	2.43	34.87	1.34	0.37	1.01
17.42	2.56	1.12	42.93	0.96	0.28	0.57
17.17	3.3	1.42	42.25	0.87	0.48	0.8
22.91	4.3	1.84	37.71	1.17	0.44	0.93
16.07	3.34	1.42	42.52	1.03	0.41	0.73
22.87	4.29	1.86	37.93	1.09	0.41	0.92
16.8	3.55	1.56	41.56	1.06	0.48	0.8
24.93	5.28	2.31	35.16	1.66	0.46	0.84
15.85	3.33	1.41	42.59	1.07	0.39	0.73
23.66	4.5	2.02	36.72	1.35	0.38	0.79
48.73	17.62	6.31	4.93	8.16	0.23	3.1
16.54	3.45	1.49	41.86	1	0.37	0.76
21.99	4.69	2.13	37.58	1.14	0.49	1.08
14.81	2.65	1.22	43.98	0.99	0.29	0.63
19.69	4.21	1.83	39.27	1.37	0.33	0.93
14.75	2.86	1.24	43.75	1.14	0.26	0.59
23.47	4.5	2	37.07	1.15	0.39	0.93
26.12	5.53	2.41	34.15	1.57	0.39	1.27
33.21	3.03	2.12	31.63	2.88	0.41	0.45
23.99	1.46	1.19	36.25	2.04	0.16	0.33
13.5	2.25	1.01	45.34	0.91	0.2	0.49
15.46	2.69	1.13	43.95	0.82	0.27	0.56
17.73	3.4	1.45	41.51	1.08	0.28	0.69
22.25	3.71	1.78	38.2	1.36	0.42	0.72
12.1	2.77	1.23	44.75	1.28	0.21	0.6
15.59	3.53	1.4	43.1	1.32	0.24	0.68
12.35	1.98	1.15	45.14	1.06	0.21	0.46
14.32	2.57	1.19	44.08	1.15	0.24	0.54
14.89	2.92	1.19	43.9	0.88	0.32	0.61
19.43	4.01	1.61	39.67	1.21	0.46	0.86
13.71	2.38	1.03	45.11	0.78	0.25	0.42
16.79	3.02	1.39	42.3	1.19	0.33	0.63
25.32	5.49	2.29	34.43	1.6	0.34	1.06
13.11	2.45	1.07	45.23	0.8	0.23	0.5
24.37	5.64	2.33	34.38	1.56	0.27	1.16
10.37	1.79	0.78	47.98	0.81	0.18	0.39
13.91	2.66	1.11	44.86	1	0.26	0.6
15.78	3.03	1.22	43.14	1.05	0.32	0.7
13.92	2.69	1.21	44.72	0.71	0.3	0.56
14.97	2.94	1.33	43.83	0.73	0.25	0.59
15.28	2.95	1.35	43.53	0.75	0.27	0.59
13.38	2.67	1.16	45.09	0.88	0.25	0.75
13.2	2.53	1.14	45.44	0.83	0.27	0.57
13.29	2.71	1.14	45.23	0.91	0.2	0.46
17.63	3.46	1.62	41.26	1.1	0.33	0.73
24.75	4.19	1.92	36.55	1.26	0.32	0.84
26.7	4.88	2.26	34.46	1.34	0.31	1.21
13.05	2.54	1.22	45.04	0.86	0.22	0.55
12.91	2.53	1.06	45.22	0.94	0.27	0.49
12.93	2.42	1.04	45.34	0.81	0.25	0.41
18.39	3.8	1.5	40.74	1.13	0.32	0.58
24.56	5.23	2.22	35.77	1.37	0.32	0.95
11.95	2.43	1.01	46.07	0.98	0.25	0.55
14.11	2.55	1.07	45.16	0.75	0.27	0.5
14.63	2.63	1.1	44.03	1.1	0.27	0.59
17.93	3.72	1.62	41.1	0.81	0.4	0.84
23.99	4.61	2	36.53	1.42	0.43	0.98
14.01	3.17	1.08	44.85	0.97	0.33	0.78
15.43	3.35	1.24	43.8	0.94	0.37	0.81
13.14	2.61	1.06	45.78	0.85	0.25	0.58
15.42	3.2	1.12	44.13	0.91	0.28	0.67
16.92	3.9	1.38	42.8	0.96	0.39	0.84
19.25	4.3	1.65	40.54	1.1	0.44	0.98
23.11	5.01	1.99	36.02	1.16	0.48	1.08
25.29	6.59	2.62	33.07	1.28	0.48	1.48
12.59	2.65	1.02	45.36	0.94	0.2	0.35
13.87	2.95	1.14	44.24	0.96	0.26	0.4
12.65	2.33	0.88	45.89	0.72	0.17	0.32
15.83	3.11	1.22	43.31	0.83	0.27	0.48
17.55	3.5	1.36	41.67	1.02	0.36	0.57
22.33	4.06	1.64	38.42	0.93	0.36	0.79
24.51	4.9	2	35.81	1.47	0.4	0.88
27.17	5.9	2.32	33.42	1.45	0.29	1.21
30.4	5.86	2.29	34.04	1.54	0.42	1.21
15.72	3.57	1.4	42.92	1.57	0.31	1.01
13.3	3.05	1.19	44.82	1.09	0.25	0.83
15.6	3.15	1.35	43.68	0.74	0.28	0.74
17.71	3.91	1.59	40.98	0.83	0.37	1.09
24.3	5.23	2.17	35.15	1.01	0.41	1.57
23.82	5.77	2.1	35.83	1.33	0.32	0.84
14.26	3	1.18	43.98	0.91	0.26	0.4
12.7	2.53	0.92	45.5	0.78	0.22	0.35
14.63	2.91	1.11	43.93	0.86	0.26	0.37
16.37	3.56	1.44	41.82	0.95	0.32	0.53
17.35	3.86	1.64	40.83	1.11	0.32	0.6
24.07	5.73	2.15	34.93	1.51	0.35	0.89
15	2.92	1.23	43.63	1.03	0.21	0.61
14.03	2.85	1.2	44.38	0.92	0.23	0.54
15.62	2.99	1.25	43.3	0.81	0.23	0.57
18.25	3.72	1.6	40.59	1.08	0.29	0.72
20.28	4.13	1.75	38.77	1.25	0.26	0.77
25.82	5.58	2.36	33.82	1.5	0.31	0.32
15.54	2.84	1.37	42.91	1.1	0.3	0.68
12.13	2.54	1.07	44.93	0.81	0.26	0.54
14.95	2.82	1.17	43.77	0.83	0.26	0.56
17.12	3.44	1.57	41.34	1.04	0.31	0.68
23.91	4.35	1.97	36.59	1.37	0.34	0.93
29.29	6.71	2.88	30.22	2.06	0.45	1.36
15.71	3.29	1.25	42.54	1.01	0.23	0.53
13.34	2.93	1.1	44.58	0.85	0.21	0.42
16.17	3.42	1.3	42.29	0.96	0.29	0.49
17.68	3.47	1.4	41.32	1.12	0.32	0.62
24.7	4.4	1.92	35.9	1.41	0.38	1.1
30.98	6.66	2.79	29.34	2	0.48	1.42
16.57	2.52	1.08	42.86	0.94	0.31	0.78
12.99	2.08	1	45.39	0.86	0.24	0.76
16.72	3.04	1.33	42.37	0.83	0.39	0.86
17.03	3.02	1.44	41.74	1.04	0.39	0.95
25.39	4.5	2.12	34.96	1.53	0.54	1.23
28.49	6.28	2.95	30.75	2.17	0.57	1.35
8.75	1.43	0.69	48.63	0.99	0.17	0.52
8.78	1.77	0.7	48.44	1.16	0.14	0.42
13.79	2.95	1.18	44.03	1.45	0.25	0.63
13.33	2.57	1.1	44.63	1.33	0.28	0.75
15.63	3.06	1.29	42.8	1.49	0.39	0.72
17.41	3.42	1.42	41.79	0.99	0.35	0.65
20.81	4.83	1.99	37.71	1.24	0.43	1.01
22.21	4.67	2.08	37	1.64	0.41	0.99
14.3	3.02	1.26	43.8	1	0.23	0.45
13.74	2.68	1.13	44.63	0.83	0.22	0.42
14.6	2.66	1.18	43.99	0.94	0.28	0.59
16.41	3.46	1.48	42.04	1.08	0.33	0.68
23.99	4.37	2.03	36.16	1.35	0.38	1.11
26.9	5.31	2.75	32.8	2.1	0.47	1.39
17.03	3.08	1.43	41.85	1.49	0.25	0.87
13.13	2.43	1.08	45.32	0.78	0.27	0.5
15.19	2.68	1.17	43.94	0.83	0.3	0.6
18.15	3.66	1.58	40.98	1.1	0.35	0.79
22.59	4.48	2.05	37.17	1.39	0.35	0.98
25.6	4.74	2.83	34.59	2.1	0.46	1.02
14.91	2.88	1.24	43.12	1.01	0.32	0.56
14.07	2.63	1.2	44.04	0.97	0.3	0.59
15.19	2.92	1.31	42.67	1.09	0.32	0.63
18	3.62	1.5	41.09	1.08	0.35	0.78
26.71	4.28	2.76	34.1	1.93	0.45	0.94
19.9	3.81	1.91	39.11	1.21	0.32	0.73
14.72	2.63	1.24	43.62	0.97	0.22	0.58
14.07	2.63	1.2	44.04	0.97	0.3	0.59
15.95	2.88	1.4	42.85	1.13	0.3	0.6
19.9	3.81	1.91	39.11	1.21	0.32	0.73
26.71	4.28	2.76	34.1	1.93	0.45	0.94
12.68	2.45	1.11	45.56	0.85	0.2	0.5
13.21	2.48	1.1	45.44	0.79	0.19	0.51
16.4	3.42	1.52	42.35	1.01	0.28	0.6
19.17	4.13	1.87	40.14	0.93	0.3	0.76
28.84	4.81	2.81	32.49	1.57	0.33	1.13
17.49	1.74	1.17	42.5	1.8	0.21	0.48
38.74	12.72	4.5	17.31	4.97	0.17	3.27
41.07	15.06	5.48	11.17	7.03	0.18	3.41
12.32	2.49	1.1	46.24	0.74	0.2	0.55
13.94	2.59	1.13	44.93	0.78	0.24	0.5
16.09	3.37	1.49	42.76	0.86	0.28	0.68
21.89	4.17	2.08	36.67	1.45	0.34	0.94
25.9	4.9	2.82	33.57	1.59	0.33	0.94
30.63	9.3	3.35	27.44	2.76	0.41	0.49
24.31	2.88	1.91	37.12	2.1	0.39	0.47
19.83	1.41	1.24	40.96	1.95	0.37	0.41
23.33	1.38	1.28	40.87	1.07	0.18	0.38
15.05	2.49	1.23	44.24	0.67	0.22	0.39
12.75	2.03	1.07	45.73	0.75	0.24	0.35
15.07	2.92	1.42	43.42	0.94	0.29	0.41
23.9	6.08	2.31	35.31	1.57	0.46	0.93
26.94	5.26	2.99	31.88	1.94	0.34	0.78
14	2.63	1.25	44.5	1.1	0.23	0.6
13.21	2.34	1.08	45.6	0.61	0.24	0.47
17.46	3.67	1.7	41.45	1.05	0.31	0.76
25.4	4.95	2.42	34.73	1.72	0.36	1
28.74	5.99	2.87	31.57	1.97	0.42	1.2
15.85	2.65	1.48	43.2	1.01	0.2	0.5
15.63	3.06	1.29	42.8	1.49	0.39	0.72
17.41	3.42	1.42	41.79	0.99	0.35	0.65
20.81	4.83	1.99	37.71	1.24	0.43	1.01
22.21	4.67	2.08	37	1.64	0.41	0.99
15.73	2.4	1.29	43.75	0.96	0.23	0.58
15.25	2.69	1.28	43.75	0.92	0.24	0.6
21	3.04	1.67	39.89	1.03	0.35	0.62
27.73	5	2.38	33.94	1.4	0.4	0.64
33.12	4.64	2.82	29.99	2.62	0.41	0.68
17.5	1.62	1.27	42.68	1.73	0.41	1.28
14.43	2.43	1.16	44.72	0.83	0.19	0.34
16.22	2.89	1.35	43.25	0.82	0.22	0.38
23.29	3.77	1.9	37.64	1.14	0.24	0.6
28.13	4.85	2.58	33.19	1.8	0.36	0.7
16.18	2.13	1.08	43.77	0.69	0.14	0.5
15.83	2.84	1.31	43.39	0.73	0.21	0.48
25.08	3.29	1.59	37.33	1.08	0.23	0.64
25.01	4.3	2.22	35.85	1.7	0.38	0.68
14.79	2.82	1.31	44.1	0.85	0.27	0.48
18.38	3.82	1.64	40.87	1	0.32	0.63
23.65	3.99	1.9	37.44	1.06	0.28	0.62
29.38	4.1	2.65	32.63	1.78	0.49	1.08
13.56	2.04	0.95	45.6	0.78	0.24	0.41
16.18	2.99	1.33	43.01	0.89	0.36	0.63
25.43	4.4	2.08	35.56	1.24	0.31	0.79
27.51	4.61	2.55	33.51	1.79	0.5	0.9
16.05	2.66	1.18	43.57	0.86	0.23	0.52
15.66	2.25	1.03	44.17	0.75	0.23	0.39
17.09	2.97	1.31	42.8	0.81	0.31	0.54
15.65	2.92	1.28	43.35	0.91	0.18	0.58
16.36	3.35	1.49	42.26	0.88	0.25	0.9
22.73	4.08	1.96	37.42	1.22	0.23	0.75
25.17	4.87	2.26	35.03	1.61	0.43	0.95
13.74	2.39	1.03	45.02	0.91	0.2	0.44
15.49	3.09	1.35	43.26	0.91	0.23	0.56
25.24	4.69	2.39	35.68	1.4	0.34	0.84
14.48	2.68	1.18	44.14	0.96	0.15	0.53
16.92	3.23	1.36	42.43	0.81	0.21	0.66
25.88	4.57	2.03	35.47	1.43	0.31	0.86
25.75	5.51	2.34	34.46	1.59	0.37	1.08
14.26	2.31	1.07	44.95	0.83	0.12	0.42
16.27	3.1	1.33	43.03	0.88	0.17	0.56
26.09	3.35	1.88	36.73	1.02	0.25	0.68
27.35	4.9	2.42	34.06	1.45	0.34	0.95
27	8.03	3.09	29.9	4.08	0.11	1.31
16.74	2.4	1.05	45.15	0.94	0.16	0.47
15.15	2.89	1.2	43.9	0.88	0.16	0.48
24.27	4.09	2.05	37.07	1.36	0.25	0.67
25.76	5.6	2.47	34.33	1.56	0.36	1.02
19.08	1.69	1.6	40.99	2.1	0.25	0.3
14	2.32	1.04	45.01	0.99	0.12	0.46
15.87	2.88	1.25	43.49	0.97	0.16	0.37
19.92	3.94	1.74	39.6	1.26	0.25	0.79
23.44	5.04	2.15	36.29	1.26	0.15	0.79
13.73	2.66	1.1	45.65	0.99	0.21	0.57
16.15	2.88	1.18	42.62	0.89	0.22	0.49
16.59	3.47	1.51	42.24	0.92	0.24	0.66
26.76	5.26	2.42	34.12	1.49	0.34	1.01
10.66	2.33	1.2	46.7	1.23	0.18	0.32
14.11	2.41	1.06	44.67	0.87	0.15	0.43
14.27	2.6	1.15	44.52	0.79	0.22	0.44
16.5	3.08	1.41	42.62	1.06	0.2	0.53
25.17	4.95	2.02	35.59	1.47	0.3	0.94
15.28	2.69	1.14	43.83	0.92	0.25	0.75
14.75	2.7	1.17	44.24	0.84	0.27	0.62
16.94	3.51	1.51	41.8	1.12	0.29	0.79
24.79	4.99	2.12	35.54	1.43	0.34	1.13
17.76	3.68	1.44	41.3	1.1	0.32	0.9
15.62	3.07	1.26	43.4	1	0.33	0.7
18.09	3.52	1.49	41.16	1.06	0.3	0.76
23.8	4.82	2.05	36.26	1.23	0.29	1.03
14.87	2.84	1.21	43.64	1.08	0.26	0.8
14.93	2.97	1.26	43.67	0.84	0.32	0.73
21.17	3.75	1.63	40.06	0.87	0.3	0.86
24.05	5.43	2.37	34.78	1.34	0.36	1.28
26.46	1.47	1.46	36.97	2.11	0.27	0.33
42.45	14.36	5.33	7.93	10.16	0.17	3
49.13	18.12	6.29	4.01	8.74	0.16	3.4
15.09	2.12	0.84	44.54	0.92	0.23	0.48
13.89	2.36	1.01	45.13	0.87	0.29	0.5
20.09	3.41	1.48	40.22	1.13	0.31	0.71
27.02	6.14	2.61	32.98	1.61	0.41	1.33
31.28	2.98	1.79	33.46	2.13	0.41	0.6
14.28	2.36	1.02	44.84	0.88	0.24	0.44
18.46	3.45	1.49	40.76	1.1	0.24	0.62
14.2	2.63	1.07	44.29	0.9	0.23	0.58
16.36	3.43	1.38	42.25	0.96	0.3	0.71
20.42	4.3	1.78	38.95	1.24	0.29	0.87
15.45	3.2	1.26	43.2	0.94	0.3	0.79
17.63	3.86	1.59	41.19	1.02	0.31	0.77
18.8	4.24	1.8	40.15	1.24	0.27	0.83
15.42	2.9	1.28	43.43	0.71	0.29	0.61
24	5.28	2.26	35.54	1.44	0.29	1.07
24.68	6.1	2.52	34.36	1.36	0.38	1.36
18.16	4.04	1.72	40.58	1.02	0.28	0.84
15.99	3.41	1.67	42.4	0.96	0.37	0.75
17.39	3.74	1.57	41.22	0.91	0.36	0.77
23.36	1.98	1.44	39.19	1.85	0.17	0.33
12.13	2.5	1.16	45.58	1.01	0.17	0.59
14.95	2.92	1.3	44.07	0.96	0.27	0.58
12.71	2.65	1	45.47	0.81	0.14	0.44
16.26	3.02	1.34	42.96	0.82	0.17	0.58
19.57	3.98	1.81	39.62	1.26	0.44	0.74
26.22	5.5	2.36	34.48	1.37	0.47	1.15
33.28	6.77	2.71	27.86	2.38	0.5	1.27
20.67	2.06	1.44	40.63	1.93	0.18	0.35
14.74	2.85	1.25	43.89	0.97	0.17	0.54
12.71	2.58	1.08	45.41	0.91	0.23	0.43
16.28	3.27	1.33	42.83	0.83	0.26	0.58
12.76	2.61	1.17	44.89	0.86	0.18	0.43
13.71	2.55	1.16	44.55	0.89	0.33	0.69
16.92	3.03	1.38	42.24	0.89	0.27	0.75
17.53	3.68	1.89	40.59	1.24	0.25	0.84
24.95	5.32	2.29	34.76	1.51	0.29	1.05
14.71	3.01	1.23	43.77	0.91	0.25	0.53
14.07	2.71	1.1	44.59	0.89	0.31	0.47
15.63	2.66	1.17	43.69	0.83	0.33	0.51
17.09	3.84	1.54	41.56	1.02	0.39	0.83
24.72	4.76	2.04	35.52	1.44	0.37	0.87
36.95	7.94	4.03	24.39	2.38	0.65	1.35
16.12	4.9	1.86	40.89	1.78	0.22	0.53
15.71	3.29	1.3	43.21	0.99	0.26	0.51
14.95	2.98	1.3	44.26	0.86	0.34	0.92
17.32	3.68	1.49	42.09	0.89	0.28	0.71
24.1	5.23	1.69	35.83	1.57	0.43	1.12
9.71	2.5	1.1	47.12	1.15	0.15	0.61
15.58	3.65	1.3	43.31	1	0.4	0.81
12.42	2.45	0.99	46.18	0.85	0.45	0.56
16.41	3.35	1.32	43.2	0.94	0.52	0.73
17.46	3.7	1.57	41.8	1.01	0.38	0.75
26.77	5.15	2.03	35.13	1.31	0.5	1.07
27.74	6.3	2.59	29.59	1.65	0.57	1.47
16.67	2.94	1.24	43.01	0.83	0.27	0.71
13.27	2.68	1.09	45.18	0.8	0.19	0.61
14.27	2.59	1.09	44.58	0.8	0.21	0.59
16.26	3.07	1.38	43.05	0.83	0.26	0.68
16.07	3.35	1.42	42.75	1.09	0.26	0.69
23.5	5.14	2.23	36.32	1.73	0.33	0.96
30.84	7.37	3.15	29.43	1.97	0.57	1.28
26.61	3.09	2.12	35.03	2.58	0.43	0.31
14.77	3.11	1.32	43.48	1.13	0.19	0.48
13.61	2.99	1.28	44.42	0.94	0.17	0.62
15.58	3.27	1.41	42.85	0.97	0.24	0.78
18.71	3.7	1.65	40.65	1.02	0.27	0.89
22.98	4.41	1.98	35.94	1.49	0.35	1.22
27.99	6.23	2.82	31.97	1.81	0.44	1.14
12.01	2.45	0.88	46.06	0.75	0.2	0.36
13.26	2.93	1.06	44.84	0.88	0.2	0.43
15.86	3.34	1.33	42.52	1.23	0.21	0.5
18.32	3.62	1.43	40.98	0.99	0.25	0.58
22.58	4.95	2.03	36.54	1.34	0.29	0.82
24.16	6.01	2.43	34.57	1.63	0.28	0.94
20.35	2.63	1.95	39.7	2.62	0.19	0.36
46.04	20.78	5.65	8.19	3.2	0.16	3.53
15.65	3.74	1.52	41.7	1.52	0.28	0.65
13.2	2.75	1.12	44.67	0.86	0.18	0.42
17.06	3.67	1.52	41.36	0.99	0.22	0.59
24.06	4.77	2.2	36.15	1.28	0.38	1.12
24.8	5.83	2.55	33.59	1.68	0.41	1.45
12.99	2.47	1.05	45.21	0.72	0.17	0.55
14.27	2.62	1.11	44.02	0.91	0.27	0.51
15.63	3.01	1.33	43.02	0.91	0.29	0.69
22.78	5.18	2.21	35.84	1.37	0.31	1.15
29.76	6.07	2.85	30.24	1.93	0.41	1.27
19.83	2.35	1.53	40.34	1.98	0.31	0.38
24.84	2	1.43	37.75	1.87	0.42	0.44
13.65	2.69	1.12	44.47	0.88	0.18	0.57
15.91	3.1	1.22	42.95	0.93	0.24	0.82
17.51	3.18	1.3	41.95	0.88	0.27	1.01
23.75	4.11	1.7	37.53	0.75	0.37	1.17
24.22	5.69	2.34	34.8	1.86	0.42	1.58
32.13	6.67	3.15	28.18	2.36	0.45	1.61
14.24	2.75	1.08	44.25	0.96	0.19	0.53
14.01	2.76	1.1	44.32	0.85	0.24	0.47
17.32	3.76	1.5	41.17	1.25	0.27	0.45
27.3	5.67	2.2	33.52	1.48	0.26	1.07
30.85	6.56	2.75	30.24	1.76	0.37	1.21
22.84	1.94	1.57	38.76	1.55	0.24	0.38
16.49	3.48	1.39	41.83	1.18	0.28	0.86
12.99	2.59	1.02	45.12	0.75	0.3	0.58
17.53	3.7	1.58	40.82	1.07	0.32	0.81
24.98	4.57	2	35.43	1.29	0.36	0.96
31.68	6.52	3.04	29.26	1.89	0.5	1
14.25	3.04	1.23	43.99	0.97	0.28	0.61
14.84	3.27	1.31	43.32	0.91	0.34	0.63
20.27	3.85	1.68	39.36	0.94	0.31	0.84
29.08	7.11	3.2	29.38	1.85	0.44	1.4
13.37	2.59	1.13	44.74	0.97	0.25	0.6
17.08	3.64	1.55	41.59	1.08	0.36	0.79
20.88	4.25	1.83	39.23	1.21	0.34	0.9
14.85	3.18	1.33	43.49	0.91	0.27	0.78
16.15	3.18	1.33	42.78	0.91	0.26	0.65
19.84	4.15	1.94	38.96	1.51	0.3	0.92
30.91	6.36	3.33	29.71	1.85	0.48	1.48
14.39	2.99	1.26	43.77	0.97	0.23	0.63
17.52	3.45	1.52	41.6	1.02	0.32	0.73
21.12	3.73	1.5	39.25	0.97	0.38	0.76
14.63	2.99	1.25	43.41	1.18	0.2	0.63
17.13	3.5	1.48	41.47	0.99	0.37	0.71
19.99	3.85	1.67	38.88	1.31	0.26	0.87
16.84	1.27	1.12	43.58	1.77	0.18	0.2
28.48	6.87	3.13	30.55	1.37	0.33	1.24
26.95	5.85	2.78	33.7	1.24	0.18	1.07
49.66	13.02	4.93	10.89	3.29	0.18	3.71
39.28	12.89	4.69	16.46	4.91	0.16	3.53
13.79	2.56	1.17	45.08	0.86	0.22	0.61
16.24	3.18	1.4	42.99	0.86	0.24	0.58
20.09	4.12	1.9	39.43	1.18	0.26	0.8
26.25	5.92	2.84	33.53	1.49	0.35	1.1
14.34	2.8	1.19	44.28	0.84	0.22	0.56
16.15	3.32	1.49	42.36	1.03	0.28	0.65
23.21	4.55	2.2	37.08	1.18	0.24	0.8
16.87	2.84	1.54	42.36	0.95	0.16	0.62
28.69	6.79	3.03	30.91	1.29	0.29	1.1
13.31	2.56	1.13	45.16	0.83	0.14	0.48
17.17	3.16	1.38	42.14	1.01	0.25	0.67
21.16	4.12	1.83	38.51	1.12	0.41	0.89
25.54	6	2.66	32.99	1.51	0.39	1.21
13.1	2.42	1.25	45.17	0.8	0.12	0.5
15.69	3.37	1.43	42.74	1	0.2	0.76
15.16	3.14	1.32	43.27	1.11	0.2	0.76
18.99	3.62	1.65	40.63	1.01	0.22	0.71
24.63	5.16	2.32	35.29	1.44	0.28	0.95
28.75	7.11	3.11	30.79	1.49	0.36	1.63
14.57	2.92	1.4	43.65	0.85	0.22	0.71
14.26	2.71	1.31	44.56	0.7	0.16	0.51
16.23	2.99	1.36	42.83	0.86	0.18	0.56
20.2	3.67	1.67	39.58	0.98	0.25	0.82
15.58	3.06	1.28	43.22	1.07	0.13	0.59
12.8	2.51	1.09	45.86	0.75	0.2	0.57
16.29	3.21	1.44	42.52	0.85	0.17	0.53
22.39	4.35	1.99	36.98	1.4	0.24	0.74
16.24	3.25	1.47	42.52	1	0.19	0.61
15.13	2.46	1.17	44.19	0.77	0.17	0.42
16.47	2.92	1.34	42.78	0.9	0.18	0.46
16.98	3.5	1.6	41.86	1.02	0.15	0.72
14.5	2.66	1.2	44.1	1.05	0.17	0.56
16.03	2.95	1.28	43.23	0.9	0.17	0.53
24.25	4.95	2.42	36.18	1.43	0.26	1.02
16.23	2.53	1.21	43.71	0.91	0.28	0.52
14.23	2.36	1.07	45.01	0.75	0.14	0.35
19.02	3.69	1.47	40.79	1.1	0.26	0.65
30.48	7.95	2.82	28.92	2.19	0.16	0.54
17.72	2.14	1.15	43.15	0.63	0.23	0.66
15.84	2.51	1.21	43.73	0.69	0.21	0.55
21.78	4.08	1.85	38.68	1.06	0.36	0.83
16.52	3.08	1.36	42.53	1	0.18	0.51
15.45	2.84	1.33	43.59	0.84	0.17	0.42
19.59	3.77	1.78	39.92	1	0.2	0.58
16.01	2.93	1.37	43.05	0.97	0.12	0.53
14.68	2.64	1.17	44.25	0.83	0.15	0.5
20.74	3.95	1.77	39.52	0.97	0.18	0.71
14.1	2.84	1.07	44.44	0.82	0.17	0.33
17.14	3.55	1.34	41.91	0.86	0.17	0.57
21.72	4.1	1.95	38.61	1.01	0.2	0.7
